ENSMUSG,Transporter
ENSMUSG00000025366,9.A.57.1.1
ENSMUSG00000079055,2.A.19.3.3
ENSMUSG00000041710,1.A.4.1.7
ENSMUSG00000070473,1.H.1.1.15
ENSMUSG00000045246,1.A.1.2.26
ENSMUSG00000039529,3.A.3.8.11
ENSMUSG00000022342,1.A.1.2.9
ENSMUSG00000021143,1.A.5.1.1
ENSMUSG00000032855,1.A.5.1.1
ENSMUSG00000050953,1.A.24.1.16
ENSMUSG00000016024,1.C.40.1.2
ENSMUSG00000018217,1.H.1.2.2
ENSMUSG00000030769,2.A.21.3.6
ENSMUSG00000019935,2.A.1.14.23
ENSMUSG00000024270,2.A.5.4.13
ENSMUSG00000047976,1.A.1.2.12
ENSMUSG00000020100,2.A.57.1.6
ENSMUSG00000027359,4.C.1.1.5
ENSMUSG00000029868,1.A.4.2.11
ENSMUSG00000000792,2.A.21.5.1
ENSMUSG00000012519,1.A.105.1.1
ENSMUSG00000023945,2.A.21.8.2
ENSMUSG00000010095,2.A.3.8.18
ENSMUSG00000027737,2.A.3.8.18
ENSMUSG00000030762,1.A.8.10.15
ENSMUSG00000024600,4.C.1.1.11
ENSMUSG00000027366,1.A.54.3.2
ENSMUSG00000050473,2.A.7.15.5
ENSMUSG00000010097,3.A.18.1.1
ENSMUSG00000019432,3.A.18.1.1
ENSMUSG00000019715,3.A.18.1.1
ENSMUSG00000020994,3.A.18.1.1
ENSMUSG00000021962,3.A.18.1.1
ENSMUSG00000021963,3.A.18.1.1
ENSMUSG00000022185,3.A.18.1.1
ENSMUSG00000022961,3.A.18.1.1
ENSMUSG00000025580,3.A.18.1.1
ENSMUSG00000028609,3.A.18.1.1
ENSMUSG00000028809,3.A.18.1.1
ENSMUSG00000034681,3.A.18.1.1
ENSMUSG00000038374,3.A.18.1.1
ENSMUSG00000061104,3.A.18.1.1
ENSMUSG00000078184,3.A.18.1.1
ENSMUSG00000078676,3.A.18.1.1
ENSMUSG00000094973,3.A.18.1.1
ENSMUSG00000107906,3.A.18.1.1
ENSMUSG00000024485,2.A.31.2.13
ENSMUSG00000035000,8.A.51.1.5
ENSMUSG00000067219,2.A.7.25.9
ENSMUSG00000008590,1.A.9.2.5
ENSMUSG00000023243,1.A.1.8.2
ENSMUSG00000037996,2.A.19.4.2
ENSMUSG00000031394,9.A.14.1.1
ENSMUSG00000028655,2.A.2.3.8
ENSMUSG00000004113,1.A.1.11.9
ENSMUSG00000052819,1.A.46.1.2
ENSMUSG00000021135,2.A.28.1.1
ENSMUSG00000032034,1.A.2.1.3
ENSMUSG00000024354,2.A.40.6.5
ENSMUSG00000025889,1.C.77.1.1
ENSMUSG00000028033,1.A.1.15.5
ENSMUSG00000019867,1.A.24.1.9
ENSMUSG00000064105,1.A.112.1.6
ENSMUSG00000022512,1.H.1.1.14
ENSMUSG00000031376,3.A.3.2.50
ENSMUSG00000022843,2.A.49.2.6
ENSMUSG00000068349,9.A.71.1.1
ENSMUSG00000068600,9.A.71.1.1
ENSMUSG00000029470,1.A.7.1.5
ENSMUSG00000055489,1.A.17.1.21
ENSMUSG00000004285,3.A.2.2.4
ENSMUSG00000006269,3.A.2.2.4
ENSMUSG00000006273,3.A.2.2.4
ENSMUSG00000013160,3.A.2.2.4
ENSMUSG00000019210,3.A.2.2.4
ENSMUSG00000019302,3.A.2.2.4
ENSMUSG00000020566,3.A.2.2.4
ENSMUSG00000022295,3.A.2.2.4
ENSMUSG00000026394,3.A.2.2.4
ENSMUSG00000033793,3.A.2.2.4
ENSMUSG00000038600,3.A.2.2.4
ENSMUSG00000039105,3.A.2.2.4
ENSMUSG00000052459,3.A.2.2.4
ENSMUSG00000093989,3.A.2.2.4
ENSMUSG00000036855,1.A.24.1.8
ENSMUSG00000026959,1.A.10.1.6
ENSMUSG00000018446,9.B.103.1.1
ENSMUSG00000031775,1.A.64.1.1
ENSMUSG00000029843,2.A.47.1.14
ENSMUSG00000067656,2.A.1.19.40
ENSMUSG00000028542,2.A.22.2.2
ENSMUSG00000022560,2.A.125.1.3
ENSMUSG00000039838,2.A.2.4.10
ENSMUSG00000050201,1.A.110.1.3
ENSMUSG00000020331,1.A.1.5.11
ENSMUSG00000032338,1.A.1.5.11
ENSMUSG00000046080,1.C.111.1.12
ENSMUSG00000022094,2.A.5.4.5
ENSMUSG00000038213,8.A.196.1.2
ENSMUSG00000024552,1.A.28.1.6
ENSMUSG00000025324,3.A.3.8.26
ENSMUSG00000054640,2.A.19.3.4
ENSMUSG00000019734,1.A.17.4.14
ENSMUSG00000037936,9.B.39.1.3
ENSMUSG00000001739,1.H.1.1.12
ENSMUSG00000040901,1.A.1.18.2
ENSMUSG00000006576,2.A.31.1.3
ENSMUSG00000006301,1.A.14.3.10
ENSMUSG00000052310,2.A.5.3.2
ENSMUSG00000003378,1.A.10.1.28
ENSMUSG00000028125,3.A.1.211.2
ENSMUSG00000020620,3.A.1.211.6
ENSMUSG00000008892,1.B.8.1.2
ENSMUSG00000030307,2.A.22.3.7
ENSMUSG00000005949,2.A.43.1.1
ENSMUSG00000072572,2.A.5.3.1
ENSMUSG00000030108,2.A.22.3.10
ENSMUSG00000064329,1.A.1.10.7
ENSMUSG00000060681,2.A.36.1.14
ENSMUSG00000057092,1.A.27.1.5
ENSMUSG00000053897,2.A.5.4.15
ENSMUSG00000023259,2.A.53.2.8
ENSMUSG00000017707,9.A.29.3.4
ENSMUSG00000024935,2.A.23.2.3
ENSMUSG00000041313,2.A.3.3.1
ENSMUSG00000032839,1.A.4.1.3
ENSMUSG00000049491,2.A.18.8.4
ENSMUSG00000021490,2.A.58.1.1
ENSMUSG00000023942,2.A.57.1.3
ENSMUSG00000007097,3.A.3.1.1
ENSMUSG00000026576,3.A.3.1.1
ENSMUSG00000032412,3.A.3.1.1
ENSMUSG00000033161,3.A.3.1.1
ENSMUSG00000040907,3.A.3.1.1
ENSMUSG00000030324,9.A.14.1.17
ENSMUSG00000034145,1.A.17.5.12
ENSMUSG00000031808,4.C.1.1.9
ENSMUSG00000019943,3.A.3.2.25
ENSMUSG00000029821,1.C.123.1.5
ENSMUSG00000074968,1.A.17.1.20
ENSMUSG00000020334,2.A.1.19.2
ENSMUSG00000026114,1.A.1.5.12
ENSMUSG00000028645,2.A.1.1.28
ENSMUSG00000051497,1.A.2.1.11
ENSMUSG00000070570,2.A.1.14.30
ENSMUSG00000038077,1.A.1.2.29
ENSMUSG00000033965,2.A.1.13.3
ENSMUSG00000036949,2.A.5.4.14
ENSMUSG00000035031,1.C.39.3.1
ENSMUSG00000028427,1.A.8.9.6
ENSMUSG00000030495,2.A.3.8.21
ENSMUSG00000022416,1.A.1.11.7
ENSMUSG00000030523,1.A.4.5.2
ENSMUSG00000046031,1.A.84.1.6
ENSMUSG00000020592,9.A.35.1.2
ENSMUSG00000052922,1.C.40.1.1
ENSMUSG00000035699,2.A.82.1.2
ENSMUSG00000053862,2.A.82.1.2
ENSMUSG00000047261,1.A.71.2.1
ENSMUSG00000046718,1.D.118.1.1
ENSMUSG00000030452,2.A.7.25.2
ENSMUSG00000018507,1.A.4.2.8
ENSMUSG00000005357,2.A.23.2.8
ENSMUSG00000078716,1.N.2.1.7
ENSMUSG00000031170,2.A.18.6.15
ENSMUSG00000026627,1.A.114.1.6
ENSMUSG00000029821,1.C.123.1.9
ENSMUSG00000079258,1.A.84.1.10
ENSMUSG00000020169,1.A.46.1.4
ENSMUSG00000031297,2.A.3.3.5
ENSMUSG00000047230,1.H.1.1.11
ENSMUSG00000021730,1.A.1.5.2
ENSMUSG00000036110,2.A.1.14.29
ENSMUSG00000002944,9.B.39.1.4
ENSMUSG00000041695,1.A.2.1.2
ENSMUSG00000030787,9.B.87.1.26
ENSMUSG00000021466,2.A.6.6.13
ENSMUSG00000040896,1.A.1.2.19
ENSMUSG00000026177,2.A.55.2.3
ENSMUSG00000021281,1.L.1.1.1
ENSMUSG00000022892,1.C.50.1.2
ENSMUSG00000050953,1.A.24.1.1
ENSMUSG00000029535,3.A.9.1.1
ENSMUSG00000023032,2.A.31.2.4
ENSMUSG00000034452,2.A.19.4.9
ENSMUSG00000001750,3.A.2.2.6
ENSMUSG00000004285,3.A.2.2.6
ENSMUSG00000006269,3.A.2.2.6
ENSMUSG00000006273,3.A.2.2.6
ENSMUSG00000013160,3.A.2.2.6
ENSMUSG00000015575,3.A.2.2.6
ENSMUSG00000019210,3.A.2.2.6
ENSMUSG00000019302,3.A.2.2.6
ENSMUSG00000020566,3.A.2.2.6
ENSMUSG00000021114,3.A.2.2.6
ENSMUSG00000022295,3.A.2.2.6
ENSMUSG00000024121,3.A.2.2.6
ENSMUSG00000024403,3.A.2.2.6
ENSMUSG00000026394,3.A.2.2.6
ENSMUSG00000028238,3.A.2.2.6
ENSMUSG00000033379,3.A.2.2.6
ENSMUSG00000033793,3.A.2.2.6
ENSMUSG00000038023,3.A.2.2.6
ENSMUSG00000038600,3.A.2.2.6
ENSMUSG00000039105,3.A.2.2.6
ENSMUSG00000039347,3.A.2.2.6
ENSMUSG00000052459,3.A.2.2.6
ENSMUSG00000053375,3.A.2.2.6
ENSMUSG00000030516,8.A.24.1.9
ENSMUSG00000029015,2.A.53.2.19
ENSMUSG00000032204,1.A.8.9.2
ENSMUSG00000044216,1.A.2.1.18
ENSMUSG00000028854,2.A.36.1.13
ENSMUSG00000003153,2.A.1.1.91
ENSMUSG00000041797,3.A.1.211.16
ENSMUSG00000022365,3.A.16.1.1
ENSMUSG00000028452,3.A.16.1.1
ENSMUSG00000039703,3.A.16.1.1
ENSMUSG00000052562,2.A.1.19.33
ENSMUSG00000063590,2.A.1.19.33
ENSMUSG00000067656,2.A.1.19.33
ENSMUSG00000075044,2.A.1.19.33
ENSMUSG00000029219,2.A.28.1.7
ENSMUSG00000060204,2.A.28.1.7
ENSMUSG00000045534,1.A.1.2.4
ENSMUSG00000047959,1.A.1.2.4
ENSMUSG00000061306,2.A.18.6.16
ENSMUSG00000032204,1.A.8.9.14
ENSMUSG00000054662,1.A.17.1.5
ENSMUSG00000034224,2.A.18.6.12
ENSMUSG00000051726,1.A.1.2.18
ENSMUSG00000031170,2.A.18.6.8
ENSMUSG00000007107,3.A.3.1.16
ENSMUSG00000056494,1.A.1.5.37
ENSMUSG00000027953,2.A.123.1.11
ENSMUSG00000031297,2.A.3.3.10
ENSMUSG00000023030,2.A.55.2.1
ENSMUSG00000036570,1.A.27.1.8
ENSMUSG00000021135,2.A.28.1.9
ENSMUSG00000023088,3.A.1.208.8
ENSMUSG00000000216,1.A.6.1.1
ENSMUSG00000030340,1.A.6.1.1
ENSMUSG00000030873,1.A.6.1.1
ENSMUSG00000058441,1.A.25.2.2
ENSMUSG00000031142,1.A.1.11.11
ENSMUSG00000079262,2.A.60.1.25
ENSMUSG00000079037,1.C.48.1.2
ENSMUSG00000027071,1.A.7.1.6
ENSMUSG00000031447,9.A.16.1.1
ENSMUSG00000026791,2.A.1.1.89
ENSMUSG00000059336,1.A.28.1.5
ENSMUSG00000038064,1.H.1.1.3
ENSMUSG00000030108,2.A.22.3.8
ENSMUSG00000031129,2.A.36.1.19
ENSMUSG00000050822,2.A.57.1.5
ENSMUSG00000021335,2.A.1.14.15
ENSMUSG00000038026,1.A.2.1.19
ENSMUSG00000030235,2.A.60.1.15
ENSMUSG00000036251,1.A.4.5.13
ENSMUSG00000031146,1.A.64.5.2
ENSMUSG00000057762,1.A.64.5.2
ENSMUSG00000062609,1.A.2.1.4
ENSMUSG00000032769,1.A.4.6.7
ENSMUSG00000037451,2.A.1.19.16
ENSMUSG00000041301,3.A.1.202.1
ENSMUSG00000060961,2.A.31.2.12
ENSMUSG00000001739,1.H.1.1.9
ENSMUSG00000059412,1.A.27.2.1
ENSMUSG00000005952,1.A.4.2.1
ENSMUSG00000028803,2.A.7.25.3
ENSMUSG00000001436,2.A.48.1.1
ENSMUSG00000037579,1.A.1.20.5
ENSMUSG00000031343,1.A.9.5.7
