Transporter,Transporter_Superfamily
1.A.10.1.19,VIC Superfamily
1.A.10.1.2,VIC Superfamily
1.A.10.1.20,VIC Superfamily
1.A.10.1.21,VIC Superfamily
1.A.10.1.22,VIC Superfamily
1.A.10.1.23,VIC Superfamily
1.A.10.1.24,VIC Superfamily
1.A.10.1.25,VIC Superfamily
1.A.10.1.26,VIC Superfamily
1.A.10.1.27,VIC Superfamily
1.A.10.1.28,VIC Superfamily
1.A.10.1.29,VIC Superfamily
1.A.10.1.3,VIC Superfamily
1.A.10.1.30,VIC Superfamily
1.A.10.1.31,VIC Superfamily
1.A.10.1.33,VIC Superfamily
1.A.10.1.34,VIC Superfamily
1.A.10.1.4,VIC Superfamily
1.A.10.1.5,VIC Superfamily
1.A.10.1.6,VIC Superfamily
1.A.10.1.7,VIC Superfamily
1.A.10.1.8,VIC Superfamily
1.A.10.1.9,VIC Superfamily
1.A.10.2.1,VIC Superfamily
1.A.10.2.2,VIC Superfamily
1.A.10.2.3,VIC Superfamily
1.A.10.2.4,VIC Superfamily
1.A.10.2.5,VIC Superfamily
1.A.10.3.1,VIC Superfamily
1.A.10.3.2,VIC Superfamily
1.A.100.1.1,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.100.1.2,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.100.1.3,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.100.1.4,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.100.1.5,Phospholemman/SIMP/Viroporin (PSV) Superfamily
1.A.101.1.1,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.1.2,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.1.3,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.1.4,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.1.5,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.1.6,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.1.7,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.2.1,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.2.2,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.2.3,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.2.4,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.2.5,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.3.1,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.3.2,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.3.3,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.3.4,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.4.1,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.4.2,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.4.3,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.5.1,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.5.2,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.5.3,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.6.1,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.6.2,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.6.3,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.6.4,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.7.1,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.7.2,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.7.3,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.8.1,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.8.2,Peroxisomal Peroxin (Pex) Superfamily
1.A.101.8.3,Peroxisomal Peroxin (Pex) Superfamily
1.A.105.1.1,Ankyrin Repeat Domain-containing (Ank) Superfamily
1.A.105.1.2,Ankyrin Repeat Domain-containing (Ank) Superfamily
1.A.105.1.3,Ankyrin Repeat Domain-containing (Ank) Superfamily
1.A.112.1.1,CNNM/HlyC Superfamily
1.A.112.1.2,CNNM/HlyC Superfamily
1.A.112.1.3,CNNM/HlyC Superfamily
1.A.112.1.4,CNNM/HlyC Superfamily
1.A.112.1.5,CNNM/HlyC Superfamily
1.A.112.1.6,CNNM/HlyC Superfamily
1.A.112.1.7,CNNM/HlyC Superfamily
1.A.112.1.8,CNNM/HlyC Superfamily
1.A.112.1.9,CNNM/HlyC Superfamily
1.A.112.2.1,CNNM/HlyC Superfamily
1.A.112.2.10,CNNM/HlyC Superfamily
1.A.112.2.11,CNNM/HlyC Superfamily
1.A.112.2.12,CNNM/HlyC Superfamily
1.A.112.2.2,CNNM/HlyC Superfamily
1.A.112.2.3,CNNM/HlyC Superfamily
1.A.112.2.4,CNNM/HlyC Superfamily
1.A.112.2.5,CNNM/HlyC Superfamily
1.A.112.2.6,CNNM/HlyC Superfamily
