CPD,Enzyme,Regulation
C17580,1.1.99.38,Substrate
C01087,1.1.99.39,Substrate
C01087,1.1.99.40,Substrate
C04578,1.1.99.41,Substrate
C00847,1.1.99.42,Substrate
C00071,1.2.1.3,Substrate
C00071,1.2.1.4,Substrate
C00071,1.2.1.5,Substrate
C00261,1.2.1.7,Substrate
C00576,1.2.1.8,Substrate
C00118,1.2.1.9,Substrate
C00084,1.2.1.10,Substrate
C00441,1.2.1.11,Substrate
C00118,1.2.1.12,Substrate
C00118,1.2.1.13,Substrate
C00222,1.2.1.15,Substrate
C00232,1.2.1.16,Substrate
C00048,1.2.1.17,Substrate
C00222,1.2.1.18,Substrate
C00555,1.2.1.19,Substrate
C03273,1.2.1.20,Substrate
C00266,1.2.1.21,Substrate
C00424,1.2.1.22,Substrate
C00538,1.2.1.23,Substrate
C00232,1.2.1.24,Substrate
C00141,1.2.1.25,Substrate
C00433,1.2.1.26,Substrate
C00349,1.2.1.27,Substrate
C00261,1.2.1.28,Substrate
C00193,1.2.1.29,Substrate
C00193,1.2.1.30,Substrate
C04076,1.2.1.31,Substrate
C03824,1.2.1.32,Substrate
C01053,1.2.1.33,Substrate
C00376,1.2.1.36,Substrate
C01250,1.2.1.38,Substrate
C00601,1.2.1.39,Substrate
C01165,1.2.1.41,Substrate
C00517,1.2.1.42,Substrate
C00903,1.2.1.44,Substrate
C00067,1.2.1.46,Substrate
C01149,1.2.1.47,Substrate
C00609,1.2.1.48,Substrate
C00538,1.2.1.49,Substrate
C00609,1.2.1.50,Substrate
C00022,1.2.1.51,Substrate
C00026,1.2.1.52,Substrate
C03765,1.2.1.53,Substrate
C02647,1.2.1.54,Substrate
C01412,1.2.1.57,Substrate
C02137,1.2.1.58,Substrate
C00118,1.2.1.59,Substrate
C04642,1.2.1.60,Substrate
C06603,1.2.1.61,Substrate
C06679,1.2.1.62,Substrate
C06102,1.2.1.63,Substrate
C00633,1.2.1.64,Substrate
C06202,1.2.1.65,Substrate
C00755,1.2.1.67,Substrate
C02666,1.2.1.68,Substrate
C15488,1.2.1.69,Substrate
C03741,1.2.1.70,Substrate
C05932,1.2.1.71,Substrate
C00279,1.2.1.72,Substrate
C00593,1.2.1.73,Substrate
C11887,1.2.1.74,Substrate
C00222,1.2.1.75,Substrate
C00232,1.2.1.76,Substrate
C19683,1.2.1.77,Substrate
C03057,1.2.1.78,Substrate
C00232,1.2.1.79,Substrate
C00609,1.2.1.80,Substrate
C00593,1.2.1.81,Substrate
C19892,1.2.1.82,Substrate
C19567,1.2.1.83,Substrate
C02843,1.2.1.84,Substrate
C00682,1.2.1.85,Substrate
C01499,1.2.1.86,Substrate
C00479,1.2.1.87,Substrate
C01165,1.2.1.88,Substrate
C00577,1.2.1.89,Substrate
