Name,miRNA
Runx1,mmu-miR-18a-5p
Pax7,mmu-miR-206-3p
Pax7,mmu-miR-206-3p
Runx1,mmu-miR-9-5p
Runx1,mmu-miR-9-5p
Bace2,mmu-miR-328-3p
Bace2,mmu-miR-298-5p
Bace1,mmu-miR-328-3p
Bace1,mmu-miR-298-5p
Aicda,mmu-miR-155-5p
Aicda,mmu-miR-155-5p
Vegfa,mmu-miR-150-5p
Vegfa,mmu-miR-150-5p
Vegfa,mmu-miR-150-5p
Pten,mmu-miR-216a-5p
Zfpm2,mmu-miR-130a-3p
Pten,mmu-miR-217-5p
Abhd16a,mmu-miR-155-5p
Abhd16a,mmu-miR-155-5p
Ptpn12,mmu-miR-124-3p
Pik3r2,mmu-miR-126a-3p
Pik3r2,mmu-miR-126a-3p
Spred1,mmu-miR-126a-3p
Spred1,mmu-miR-126a-3p
Tcra,mmu-miR-181a-5p
Egr1,mmu-miR-181a-5p
Tox,mmu-miR-181a-5p
Runx1,mmu-miR-181a-5p
Ctdsp1,mmu-miR-124-3p
Ctdsp1,mmu-miR-124-3p
Ctdsp1,mmu-miR-124-3p
Ctdsp1,mmu-miR-124-3p
Myc,mmu-let-7c-5p
Myc,mmu-let-7c-5p
Maf,mmu-miR-155-5p
Maf,mmu-miR-155-5p
Stc1,mmu-miR-101b-3p
Ctdsp2,mmu-miR-124-3p
Ctdsp2,mmu-miR-124-3p
Cers2,mmu-miR-124-3p
Cers2,mmu-miR-124-3p
Nek9,mmu-miR-124-3p
Tsku,mmu-miR-124-3p
Hells,mmu-miR-7a-5p
Sfpi1,mmu-miR-155-5p
Myb,mmu-miR-150-5p
Myb,mmu-miR-150-5p
Myb,mmu-miR-150-5p
Cdkn1b,mmu-miR-221-3p
Cdkn1b,mmu-miR-222-3p
Fzd4,mmu-miR-31-5p
Fzd4,mmu-miR-184-3p
Hmga2,mmu-miR-196a-5p
Atxn1,mmu-miR-101b-3p
Spry1,mmu-miR-206-3p
Ucp2,mmu-miR-133a-3p
Ucp2,mmu-miR-133a-3p
Ucp2,mmu-miR-210-3p
Ucp2,mmu-miR-1a-3p
Icos,mmu-miR-101a-3p
Cdk6,mmu-miR-195a-5p
Ccnd1,mmu-miR-195a-5p
Mecp2,mmu-miR-132-3p
Mecp2,mmu-miR-132-3p
Irak2,mmu-miR-146a-5p
D030056L22Rik,mmu-miR-140-5p
Irak1,mmu-miR-146a-5p
Irak1,mmu-miR-146a-5p
Irak1,mmu-miR-146a-5p
Irak1,mmu-miR-146a-5p
Irak1,mmu-miR-146a-5p
Traf6,mmu-miR-146a-5p
Traf6,mmu-miR-146a-5p
Traf6,mmu-miR-146a-5p
Traf6,mmu-miR-146a-5p
Traf6,mmu-miR-146a-5p
Traf6,mmu-miR-146a-5p
Traf6,mmu-miR-146a-5p
Fcho2,mmu-miR-124-3p
Cd164,mmu-miR-124-3p
Cd164,mmu-miR-124-3p
Lamc1,mmu-miR-124-3p
Lamc1,mmu-miR-124-3p
Cebpa,mmu-miR-124-3p
Cebpa,mmu-miR-124-3p
Tom1l1,mmu-miR-124-3p
Arfip1,mmu-miR-124-3p
Hspa1b,mmu-miR-1a-3p
Hspa1b,mmu-miR-1a-3p
Hspd1,mmu-miR-1a-3p
Sypl,mmu-miR-124-3p
Sypl,mmu-miR-124-3p
Hadhb,mmu-miR-124-3p
B4galt1,mmu-miR-124-3p
B4galt1,mmu-miR-124-3p
Casp9,mmu-miR-133a-3p
Cadm1,mmu-miR-16-5p
Cadm1,mmu-miR-15a-5p
Cadm1,mmu-miR-15a-5p
Stx2,mmu-miR-124-3p
Rbl2,mmu-miR-17-5p
Rbl2,mmu-miR-17-5p
Slc3a2,mmu-miR-706
Ctcfl,mmu-miR-709
Trp63,mmu-miR-203-3p
Trp63,mmu-miR-203-3p
Trp63,mmu-miR-203-3p
Ifit2,mmu-miR-140-5p
Sbk1,mmu-miR-140-5p
Srr,mmu-miR-140-5p
Cxcl12,mmu-miR-140-5p
Zfand1,mmu-miR-140-5p
Cenpl,mmu-miR-140-5p
Fosb,mmu-miR-140-5p
Bcl2,mmu-miR-34a-5p
