ENSMUSG,mmu,Enzyme
ENSMUSG00000040820,110948,6.3.4.15
ENSMUSG00000042684,74091,4.1.3.3
ENSMUSG00000003119,69131,2.7.11.22
ENSMUSG00000003119,69131,2.7.11.23
ENSMUSG00000094156,638251,2.8.2.14
ENSMUSG00000032113,12649,2.7.11.1
ENSMUSG00000037993,64340,3.6.4.13
ENSMUSG00000098470,667277,3.4.21.41
ENSMUSG00000033910,60596,4.6.1.2
ENSMUSG00000064023,259277,3.4.21.118
ENSMUSG00000024827,104174,1.4.4.2
ENSMUSG00000040650,243881,1.14.14.1
ENSMUSG00000022386,72026,2.8.1.14
ENSMUSG00000028961,110208,1.1.1.44
ENSMUSG00000028961,110208,1.1.1.343
ENSMUSG00000052920,19091,2.7.11.12
ENSMUSG00000029687,14056,2.1.1.356
ENSMUSG00000022637,208650,2.3.2.27
ENSMUSG00000004018,67030,2.3.2.27
ENSMUSG00000032047,110446,2.3.1.9
ENSMUSG00000054892,22165,2.7.10.2
ENSMUSG00000024887,54447,3.5.1.23
ENSMUSG00000024201,193796,1.14.11.66
ENSMUSG00000024201,193796,1.14.11.69
ENSMUSG00000032116,16430,2.4.99.18
ENSMUSG00000031388,56292,2.3.1.255
ENSMUSG00000064090,69922,2.7.11.1
ENSMUSG00000031730,56749,1.3.5.2
ENSMUSG00000022248,19355,3.1.11.2
ENSMUSG00000040451,208449,2.7.8.27
ENSMUSG00000038216,18948,2.1.1.28
ENSMUSG00000079343,317677,3.4.21.42
ENSMUSG00000039058,229949,2.7.4.3
ENSMUSG00000025823,12304,5.3.4.1
ENSMUSG00000024896,17330,3.1.3.62
ENSMUSG00000024896,17330,3.1.3.80
ENSMUSG00000005899,77626,3.1.4.12
ENSMUSG00000004270,14792,2.3.1.23
ENSMUSG00000032274,13075,1.14.14.14
ENSMUSG00000030713,23993,3.4.21.117
ENSMUSG00000023120,332942,4.1.1.17
ENSMUSG00000004268,14791,2.1.1.260
ENSMUSG00000037049,20597,3.1.4.12
ENSMUSG00000027298,22174,2.7.10.1
