ENSMUSG,FC
ENSMUSG00000037860,Down
ENSMUSG00000037921,Down
ENSMUSG00000037922,Down
ENSMUSG00000037940,Down
ENSMUSG00000038127,Down
ENSMUSG00000038147,Down
ENSMUSG00000038179,Down
ENSMUSG00000038233,Down
ENSMUSG00000038323,Down
ENSMUSG00000038344,Down
ENSMUSG00000038393,Down
ENSMUSG00000038526,Down
ENSMUSG00000038539,Down
ENSMUSG00000038546,Down
ENSMUSG00000038599,Down
ENSMUSG00000038608,Down
ENSMUSG00000038664,Down
ENSMUSG00000038679,Down
ENSMUSG00000038702,Down
ENSMUSG00000038754,Down
ENSMUSG00000038768,Down
ENSMUSG00000038843,Down
ENSMUSG00000038936,Down
ENSMUSG00000038954,Down
ENSMUSG00000039031,Down
ENSMUSG00000039086,Down
ENSMUSG00000039145,Down
ENSMUSG00000039166,Down
ENSMUSG00000039167,Down
ENSMUSG00000039217,Down
ENSMUSG00000039220,Down
ENSMUSG00000039239,Down
ENSMUSG00000039264,Down
ENSMUSG00000039298,Down
ENSMUSG00000039304,Down
ENSMUSG00000039323,Down
ENSMUSG00000039497,Down
ENSMUSG00000039585,Down
ENSMUSG00000039620,Down
ENSMUSG00000039628,Down
ENSMUSG00000039697,Down
ENSMUSG00000039735,Down
ENSMUSG00000039738,Down
ENSMUSG00000039763,Down
ENSMUSG00000039765,Down
ENSMUSG00000039782,Down
ENSMUSG00000039842,Down
ENSMUSG00000039967,Down
ENSMUSG00000039968,Down
ENSMUSG00000039982,Down
ENSMUSG00000039997,Down
ENSMUSG00000040035,Down
ENSMUSG00000040127,Down
ENSMUSG00000040253,Down
ENSMUSG00000040254,Down
ENSMUSG00000040264,Down
ENSMUSG00000040270,Down
ENSMUSG00000040359,Down
ENSMUSG00000040380,Down
ENSMUSG00000040536,Down
ENSMUSG00000040592,Down
ENSMUSG00000040724,Down
ENSMUSG00000040740,Down
ENSMUSG00000040760,Down
ENSMUSG00000040774,Down
ENSMUSG00000040785,Down
ENSMUSG00000040828,Down
ENSMUSG00000040829,Down
ENSMUSG00000040841,Down
ENSMUSG00000040929,Down
ENSMUSG00000040936,Down
ENSMUSG00000040978,Down
ENSMUSG00000040998,Down
ENSMUSG00000041044,Down
ENSMUSG00000041119,Down
ENSMUSG00000041180,Down
ENSMUSG00000041219,Down
ENSMUSG00000041258,Down
ENSMUSG00000041261,Down
ENSMUSG00000041293,Down
ENSMUSG00000041353,Down
ENSMUSG00000041361,Down
ENSMUSG00000041426,Down
ENSMUSG00000041483,Down
ENSMUSG00000041540,Down
ENSMUSG00000041594,Down
ENSMUSG00000041685,Down
ENSMUSG00000041698,Down
ENSMUSG00000041731,Down
ENSMUSG00000041773,Down
ENSMUSG00000041782,Down
ENSMUSG00000041836,Down
ENSMUSG00000041912,Down
ENSMUSG00000041930,Down
ENSMUSG00000042041,Down
ENSMUSG00000042104,Down
ENSMUSG00000042202,Down
ENSMUSG00000042213,Down
ENSMUSG00000042271,Down
ENSMUSG00000042302,Down
ENSMUSG00000042331,Down
ENSMUSG00000042348,Down
ENSMUSG00000042439,Down
ENSMUSG00000042473,Down
ENSMUSG00000042500,Down
ENSMUSG00000042743,Down
ENSMUSG00000042790,Down
ENSMUSG00000042817,Down
ENSMUSG00000042842,Down
ENSMUSG00000042851,Down
ENSMUSG00000042874,Down
ENSMUSG00000043068,Down
ENSMUSG00000043183,Down
ENSMUSG00000043262,Down
ENSMUSG00000043263,Down
ENSMUSG00000043384,Down
ENSMUSG00000043418,Down
ENSMUSG00000043542,Down
ENSMUSG00000043602,Down
ENSMUSG00000043629,Down
ENSMUSG00000043631,Down
ENSMUSG00000043687,Down
ENSMUSG00000043832,Down
ENSMUSG00000043909,Down
ENSMUSG00000044033,Down
ENSMUSG00000044037,Down
ENSMUSG00000044139,Down
ENSMUSG00000044229,Down
ENSMUSG00000044367,Down
ENSMUSG00000044393,Down
ENSMUSG00000044501,Down
ENSMUSG00000044566,Down
ENSMUSG00000044629,Down
ENSMUSG00000044712,Down
ENSMUSG00000044734,Down
ENSMUSG00000044827,Down
ENSMUSG00000045205,Down
ENSMUSG00000045287,Down
ENSMUSG00000045312,Down
ENSMUSG00000045467,Down
ENSMUSG00000045733,Down
ENSMUSG00000045790,Down
ENSMUSG00000045817,Down
ENSMUSG00000045822,Down
ENSMUSG00000045827,Down
ENSMUSG00000045868,Down
ENSMUSG00000045932,Down
ENSMUSG00000045954,Down
ENSMUSG00000046031,Down
ENSMUSG00000046111,Down
ENSMUSG00000046159,Down
ENSMUSG00000046169,Down
ENSMUSG00000046311,Down
ENSMUSG00000046404,Down
ENSMUSG00000046432,Down
ENSMUSG00000046532,Down
ENSMUSG00000046743,Down
ENSMUSG00000046753,Down
ENSMUSG00000046916,Down
ENSMUSG00000046997,Down
ENSMUSG00000047473,Down
ENSMUSG00000047496,Down
ENSMUSG00000047517,Down
ENSMUSG00000048240,Down
ENSMUSG00000048330,Down
ENSMUSG00000048368,Down
ENSMUSG00000048388,Down
ENSMUSG00000048410,Down
ENSMUSG00000048424,Down
ENSMUSG00000048495,Down
ENSMUSG00000048572,Down
ENSMUSG00000048728,Down
ENSMUSG00000048938,Down
ENSMUSG00000049038,Down
ENSMUSG00000049103,Down
ENSMUSG00000049109,Down
ENSMUSG00000049191,Down
ENSMUSG00000049470,Down
ENSMUSG00000049536,Down
ENSMUSG00000049555,Down
ENSMUSG00000049685,Down
ENSMUSG00000049940,Down
ENSMUSG00000050050,Down
ENSMUSG00000050271,Down
ENSMUSG00000050423,Down
ENSMUSG00000050445,Down
ENSMUSG00000050587,Down
ENSMUSG00000050860,Down
ENSMUSG00000050931,Down
ENSMUSG00000050965,Down
ENSMUSG00000050994,Down
ENSMUSG00000051037,Down
ENSMUSG00000051041,Down
ENSMUSG00000051076,Down
ENSMUSG00000051341,Down
ENSMUSG00000051359,Down
ENSMUSG00000051674,Down
ENSMUSG00000051855,Down
ENSMUSG00000051977,Down
ENSMUSG00000052013,Down
ENSMUSG00000052085,Down
ENSMUSG00000052133,Down
ENSMUSG00000052302,Down
ENSMUSG00000052316,Down
ENSMUSG00000052392,Down
ENSMUSG00000052407,Down
ENSMUSG00000052496,Down
ENSMUSG00000052504,Down
ENSMUSG00000052516,Down
ENSMUSG00000052520,Down
ENSMUSG00000052539,Down
ENSMUSG00000052562,Down
ENSMUSG00000052563,Down
ENSMUSG00000052595,Down
ENSMUSG00000052676,Down
ENSMUSG00000052688,Down
ENSMUSG00000052707,Down
ENSMUSG00000052794,Down
ENSMUSG00000052914,Down
ENSMUSG00000052920,Down
ENSMUSG00000052942,Down
ENSMUSG00000053012,Down
ENSMUSG00000053063,Down
ENSMUSG00000053219,Down
ENSMUSG00000053347,Down
ENSMUSG00000053414,Down
ENSMUSG00000053453,Down
ENSMUSG00000053819,Down
ENSMUSG00000053846,Down
ENSMUSG00000053886,Down
ENSMUSG00000053964,Down
ENSMUSG00000053965,Down
ENSMUSG00000053985,Down
ENSMUSG00000054072,Down
ENSMUSG00000054181,Down
ENSMUSG00000054203,Down
ENSMUSG00000054226,Down
ENSMUSG00000054417,Down
ENSMUSG00000054422,Down
ENSMUSG00000054519,Down
ENSMUSG00000054630,Down
ENSMUSG00000054640,Down
ENSMUSG00000054641,Down
ENSMUSG00000054737,Down
ENSMUSG00000054764,Down
ENSMUSG00000054855,Down
ENSMUSG00000054889,Down
ENSMUSG00000054893,Down
ENSMUSG00000055067,Down
ENSMUSG00000055069,Down
ENSMUSG00000055240,Down
ENSMUSG00000055313,Down
ENSMUSG00000055817,Down
ENSMUSG00000055884,Down
ENSMUSG00000055897,Down
ENSMUSG00000056050,Down
ENSMUSG00000056133,Down
ENSMUSG00000056144,Down
ENSMUSG00000056260,Down
ENSMUSG00000056383,Down
ENSMUSG00000057069,Down
ENSMUSG00000057113,Down
ENSMUSG00000057133,Down
ENSMUSG00000057228,Down
ENSMUSG00000057335,Down
ENSMUSG00000057596,Down
ENSMUSG00000057835,Down
ENSMUSG00000057858,Down
ENSMUSG00000057933,Down
ENSMUSG00000057982,Down
ENSMUSG00000058093,Down
ENSMUSG00000058152,Down
ENSMUSG00000058163,Down
ENSMUSG00000058192,Down
ENSMUSG00000058331,Down
ENSMUSG00000058587,Down
ENSMUSG00000058672,Down
ENSMUSG00000058706,Down
ENSMUSG00000058799,Down
ENSMUSG00000058934,Down
ENSMUSG00000059027,Down
ENSMUSG00000059142,Down
ENSMUSG00000059474,Down
ENSMUSG00000059669,Down
ENSMUSG00000059708,Down
ENSMUSG00000059834,Down
ENSMUSG00000060002,Down
ENSMUSG00000060090,Down
ENSMUSG00000060131,Down
ENSMUSG00000060149,Down
ENSMUSG00000060227,Down
ENSMUSG00000060314,Down
ENSMUSG00000060429,Down
ENSMUSG00000060441,Down
ENSMUSG00000060487,Down
ENSMUSG00000060771,Down
ENSMUSG00000060904,Down
ENSMUSG00000060923,Down
ENSMUSG00000060935,Down
ENSMUSG00000060961,Down
ENSMUSG00000061136,Down
ENSMUSG00000061167,Down
ENSMUSG00000061411,Down
ENSMUSG00000061533,Down
ENSMUSG00000061544,Down
ENSMUSG00000061665,Down
ENSMUSG00000062545,Down
ENSMUSG00000062609,Down
ENSMUSG00000062624,Down
ENSMUSG00000062743,Down
ENSMUSG00000062861,Down
ENSMUSG00000062949,Down
ENSMUSG00000063172,Down
ENSMUSG00000063245,Down
ENSMUSG00000063286,Down
ENSMUSG00000063663,Down
ENSMUSG00000063704,Down
ENSMUSG00000063810,Down
ENSMUSG00000063894,Down
ENSMUSG00000064061,Down
ENSMUSG00000064141,Down
ENSMUSG00000064179,Down
ENSMUSG00000064225,Down
ENSMUSG00000064356,Down
ENSMUSG00000065037,Down
ENSMUSG00000065947,Down
ENSMUSG00000066000,Down
ENSMUSG00000066153,Down
ENSMUSG00000066154,Down
ENSMUSG00000066258,Down
ENSMUSG00000066319,Down
ENSMUSG00000066553,Down
ENSMUSG00000066677,Down
ENSMUSG00000066800,Down
ENSMUSG00000066829,Down
ENSMUSG00000066877,Down
ENSMUSG00000067158,Down
ENSMUSG00000067219,Down
ENSMUSG00000067225,Down
ENSMUSG00000067916,Down
ENSMUSG00000068115,Down
ENSMUSG00000068130,Down
ENSMUSG00000068196,Down
ENSMUSG00000068245,Down
ENSMUSG00000069045,Down
ENSMUSG00000069094,Down
ENSMUSG00000069495,Down
ENSMUSG00000069733,Down
ENSMUSG00000069743,Down
ENSMUSG00000069793,Down
ENSMUSG00000069892,Down
ENSMUSG00000070034,Down
ENSMUSG00000070336,Down
ENSMUSG00000070594,Down
ENSMUSG00000070605,Down
ENSMUSG00000070806,Down
ENSMUSG00000071042,Down
ENSMUSG00000071204,Down
ENSMUSG00000071226,Down
ENSMUSG00000071266,Down
ENSMUSG00000071267,Down
ENSMUSG00000071335,Down
ENSMUSG00000071350,Down
ENSMUSG00000071456,Down
ENSMUSG00000071633,Down
ENSMUSG00000071655,Down
ENSMUSG00000071719,Down
ENSMUSG00000071793,Down
ENSMUSG00000071796,Down
ENSMUSG00000071856,Down
ENSMUSG00000071893,Down
ENSMUSG00000072082,Down
ENSMUSG00000072294,Down
ENSMUSG00000072572,Down
ENSMUSG00000072623,Down
ENSMUSG00000072647,Down
ENSMUSG00000072762,Down
ENSMUSG00000072884,Down
ENSMUSG00000072949,Down
ENSMUSG00000072964,Down
ENSMUSG00000072969,Down
ENSMUSG00000073176,Down
ENSMUSG00000073427,Down
ENSMUSG00000073460,Down
ENSMUSG00000073489,Down
ENSMUSG00000073491,Down
ENSMUSG00000073647,Down
ENSMUSG00000073678,Down
ENSMUSG00000073834,Down
ENSMUSG00000073842,Down
ENSMUSG00000073902,Down
ENSMUSG00000073940,Down
ENSMUSG00000073985,Down
ENSMUSG00000074283,Down
ENSMUSG00000074398,Down
ENSMUSG00000074472,Down
ENSMUSG00000074634,Down
ENSMUSG00000074715,Down
ENSMUSG00000074896,Down
ENSMUSG00000075025,Down
ENSMUSG00000075415,Down
ENSMUSG00000076609,Down
ENSMUSG00000076617,Down
ENSMUSG00000078349,Down
ENSMUSG00000078452,Down
ENSMUSG00000078495,Down
ENSMUSG00000078496,Down
ENSMUSG00000078546,Down
ENSMUSG00000078606,Down
ENSMUSG00000078622,Down
ENSMUSG00000078650,Down
ENSMUSG00000078672,Down
ENSMUSG00000078673,Down
ENSMUSG00000078674,Down
ENSMUSG00000078675,Down
ENSMUSG00000078680,Down
ENSMUSG00000078683,Down
ENSMUSG00000078688,Down
ENSMUSG00000078771,Down
ENSMUSG00000078773,Down
