ENSMUSP,FC
ENSMUSP00000107293,UP
ENSMUSP00000107387,UP
ENSMUSP00000107864,UP
ENSMUSP00000107866,UP
ENSMUSP00000108011,UP
ENSMUSP00000108056,UP
ENSMUSP00000108150,UP
ENSMUSP00000108264,UP
ENSMUSP00000108303,UP
ENSMUSP00000108422,UP
ENSMUSP00000108841,UP
ENSMUSP00000109305,UP
ENSMUSP00000109540,UP
ENSMUSP00000109788,UP
ENSMUSP00000110142,UP
ENSMUSP00000110460,UP
ENSMUSP00000110673,UP
ENSMUSP00000110882,UP
ENSMUSP00000111117,UP
ENSMUSP00000111191,UP
ENSMUSP00000111297,UP
ENSMUSP00000111942,UP
ENSMUSP00000112320,UP
ENSMUSP00000112368,UP
ENSMUSP00000112527,UP
ENSMUSP00000112678,UP
ENSMUSP00000112747,UP
ENSMUSP00000113058,UP
ENSMUSP00000113107,UP
ENSMUSP00000113137,UP
ENSMUSP00000113213,UP
ENSMUSP00000113296,UP
ENSMUSP00000113439,UP
ENSMUSP00000113581,UP
ENSMUSP00000113644,UP
ENSMUSP00000113904,UP
ENSMUSP00000113958,UP
ENSMUSP00000113966,UP
ENSMUSP00000114011,UP
ENSMUSP00000114159,UP
ENSMUSP00000114230,UP
ENSMUSP00000114304,UP
ENSMUSP00000114504,UP
ENSMUSP00000114756,UP
ENSMUSP00000115062,UP
ENSMUSP00000115195,UP
ENSMUSP00000117583,UP
ENSMUSP00000117729,UP
ENSMUSP00000118179,UP
ENSMUSP00000118874,UP
ENSMUSP00000118995,UP
ENSMUSP00000119275,UP
ENSMUSP00000119538,UP
ENSMUSP00000119655,UP
ENSMUSP00000120106,UP
ENSMUSP00000120154,UP
ENSMUSP00000120452,UP
ENSMUSP00000121082,UP
ENSMUSP00000121164,UP
ENSMUSP00000121201,UP
ENSMUSP00000121557,UP
ENSMUSP00000121606,UP
ENSMUSP00000122056,UP
ENSMUSP00000122093,UP
ENSMUSP00000122295,UP
ENSMUSP00000122964,UP
ENSMUSP00000123069,UP
ENSMUSP00000123157,UP
ENSMUSP00000123609,UP
ENSMUSP00000123613,UP
ENSMUSP00000123991,UP
ENSMUSP00000124062,UP
ENSMUSP00000124149,UP
ENSMUSP00000124423,UP
ENSMUSP00000125451,UP
